nconst	primaryName	knownForTitles
nm0000581	Joseph L. Mankiewicz	['tt0042192', 'tt0041587', 'tt0056937', 'tt0069281']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0527217	Hamilton Luske	['tt0042332', 'tt0032910', 'tt0058331', 'tt0043274']
nm0467396	Henry Koster	['tt0042546', 'tt0046247', 'tt0039190', 'tt0028373']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0001379	John Huston	['tt0040897', 'tt0071315', 'tt0042208', 'tt0089841']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0527217	Hamilton Luske	['tt0042332', 'tt0032910', 'tt0058331', 'tt0043274']
nm0936404	Robert Wise	['tt0055614', 'tt0059742', 'tt0066769', 'tt0057129']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0001415	Elia Kazan	['tt0047296', 'tt0048028', 'tt0044081', 'tt0056825']
nm0003593	Fred Zinnemann	['tt0060665', 'tt0045793', 'tt0044706', 'tt0053131']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0002045	Stanley Donen	['tt0056923', 'tt0045152', 'tt0050419', 'tt0047472']
nm0000037	Gene Kelly	['tt0045152', 'tt0043278', 'tt0053946', 'tt0041716']
nm0003593	Fred Zinnemann	['tt0060665', 'tt0045793', 'tt0044706', 'tt0053131']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0527217	Hamilton Luske	['tt0042332', 'tt0032910', 'tt0058331', 'tt0043274']
nm0943758	William Wyler	['tt0036868', 'tt0052618', 'tt0046250', 'tt0051411']
nm0167241	Henri-Georges Clouzot	['tt0046268', 'tt0046911', 'tt0041634', 'tt0039739']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0654868	Yasujirô Ozu	['tt0041154', 'tt0046438', 'tt0043313', 'tt0053579']
nm0167241	Henri-Georges Clouzot	['tt0046268', 'tt0046911', 'tt0041634', 'tt0039739']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0001415	Elia Kazan	['tt0047296', 'tt0048028', 'tt0044081', 'tt0056825']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0000019	Federico Fellini	['tt0056801', 'tt0050783', 'tt0047528', 'tt0053779']
nm0002031	Michael Curtiz	['tt0034583', 'tt0029843', 'tt0026174', 'tt0037913']
nm0314671	Clyde Geronimi	['tt0042332', 'tt0043274', 'tt0046183', 'tt0048280']
nm0414144	Wilfred Jackson	['tt0042332', 'tt0029583', 'tt0043274', 'tt0046183']
nm0527217	Hamilton Luske	['tt0042332', 'tt0032910', 'tt0058331', 'tt0043274']
nm0001452	Charles Laughton	['tt0051201', 'tt0026752', 'tt0054331', 'tt0026955']
nm0712947	Nicholas Ray	['tt0048545', 'tt0075675', 'tt0042593', 'tt0079261']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0928208	Fred M. Wilcox	['tt0049223', 'tt0036098', 'tt0053933', 'tt0045636']
nm0796923	Don Siegel	['tt0079116', 'tt0066999', 'tt0049366', 'tt0067588']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000406	John Ford	['tt0045061', 'tt0032551', 'tt0033729', 'tt0031971']
nm0001124	Cecil B. DeMille	['tt0049833', 'tt0044672', 'tt0043014', 'tt0041838']
nm0001486	Sidney Lumet	['tt0050083', 'tt0292963', 'tt0071877', 'tt0072890']
nm0000180	David Lean	['tt0056172', 'tt0059113', 'tt0050212', 'tt0038574']
nm0000041	Akira Kurosawa	['tt0051808', 'tt0080979', 'tt0089881', 'tt0047478']
nm0000019	Federico Fellini	['tt0056801', 'tt0050783', 'tt0047528', 'tt0053779']
nm0000040	Stanley Kubrick	['tt0062622', 'tt0066921', 'tt0072684', 'tt0093058']
nm0000005	Ingmar Bergman	['tt0050986', 'tt0083922', 'tt0050976', 'tt0069467']
nm0000005	Ingmar Bergman	['tt0050986', 'tt0083922', 'tt0050976', 'tt0069467']
nm0000697	Billy Wilder	['tt0053604', 'tt0053291', 'tt0047437', 'tt0043014']
nm0112218	Richard Brooks	['tt0061809', 'tt0051459', 'tt0053793', 'tt0040506']
nm0000080	Orson Welles	['tt0033467', 'tt0052311', 'tt0040525', 'tt0057427']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0695937	Otto Preminger	['tt0046359', 'tt0052561', 'tt0037008', 'tt0046828']
nm0943758	William Wyler	['tt0036868', 'tt0052618', 'tt0046250', 'tt0051411']
nm0000033	Alfred Hitchcock	['tt0054215', 'tt0053125', 'tt0052357', 'tt0056869']
nm0000076	François Truffaut	['tt0070460', 'tt0075860', 'tt0053198', 'tt0055032']
