nconst	primaryName	knownForTitles
nm0304955	Matthew Garber	['tt0058331', 'tt0061715', 'tt0057579', 'tt1015971']
nm0871546	Arthur Treacher	['tt0058331', 'tt0031580', 'tt0028988', 'tt0028315']
nm0001322	Rex Harrison	['tt0058385', 'tt0056937', 'tt0061584', 'tt0039420']
nm0391361	Stanley Holloway	['tt0058385', 'tt0037558', 'tt0066249', 'tt0040416']
nm0405035	Wilfrid Hyde-White	['tt0058385', 'tt0041959', 'tt0054022', 'tt0061075']
nm0107950	Jeremy Brett	['tt0058385', 'tt0049934', 'tt0685628', 'tt0095330']
nm0000942	Theodore Bikel	['tt0058385', 'tt0051525', 'tt0050356', 'tt0043265']
nm0390710	John Holland	['tt0071315', 'tt0058385', 'tt0057273', 'tt0061791']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0002231	Gian Maria Volontè	['tt0058461', 'tt0059578', 'tt0065889', 'tt0065531']
nm0525742	Wolfgang Lukschy	['tt0058461', 'tt0051235', 'tt0045707', 'tt0047989']
nm0750482	Sieghardt Rupp	['tt0058461', 'tt0098629', 'tt0055980', 'tt0059308']
nm0250905	Joseph Egger	['tt0058461', 'tt0059578', 'tt0296501', 'tt0037705']
nm8746554	Antonio Prieto	['tt0058461', 'tt0243412', 'tt0056925', 'tt0047965']
nm8746554	Antonio Prieto	['tt0058461', 'tt0243412', 'tt0056925', 'tt0047965']
nm0130952	José Calvo	['tt0058461', 'tt0055601', 'tt0064388', 'tt0067661']
nm0554607	Daniel Martín	['tt0058461', 'tt0093969', 'tt0059839', 'tt0098251']
nm0352835	Brahim Hadjadj	['tt0058946', 'tt0856254', 'tt0328223', 'tt0062310']
nm0552483	Jean Martin	['tt0058946', 'tt0069947', 'tt0070215', 'tt0063152']
nm0754272	Yacef Saadi	['tt0058946', 'tt31389091', 'tt11562950', 'tt1032854']
nm0657597	Ugo Paletti	['tt0058946']
nm0069934	Mohamed Ben Kassen	['tt0058946']
nm0605398	Franco Moruzzi	['tt0085627', 'tt0103303', 'tt0070139', 'tt0057443']
nm0626221	Tommaso Neri	[]
nm0746250	Rouiched	['tt0061751', 'tt0300699', 'tt0856203', 'tt1287482']
nm0001725	Omar Sharif	['tt0056172', 'tt0059113', 'tt0329388', 'tt0088286']
nm0001768	Rod Steiger	['tt0061811', 'tt0047296', 'tt0059575', 'tt0067140']
nm0000027	Alec Guinness	['tt0076759', 'tt0050212', 'tt0041546', 'tt0051739']
nm0183822	Tom Courtenay	['tt3544082', 'tt0059113', 'tt0056194', 'tt1441951']
nm0724732	Ralph Richardson	['tt0059113', 'tt0041452', 'tt0081633', 'tt0040338']
nm0734276	Jeffrey Rockland	['tt0059113']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0001812	Lee Van Cleef	['tt0082340', 'tt0060196', 'tt0059578', 'tt0056217']
nm0002231	Gian Maria Volontè	['tt0058461', 'tt0059578', 'tt0065889', 'tt0065531']
nm0685559	Luigi Pistilli	['tt0060196', 'tt0059578', 'tt0063032', 'tt0067236']
nm0001428	Klaus Kinski	['tt0079641', 'tt0068182', 'tt0083946', 'tt0059578']
nm8621588	Luis Rodríguez	['tt0059578', 'tt0085487', 'tt0059016', 'tt0044491']
nm0824934	Benito Stefanelli	['tt0058461', 'tt0064116', 'tt0060196', 'tt0087843']
nm0660208	Panos Papadopulos	['tt0059578', 'tt0052949', 'tt0806910', 'tt1305697']
nm0759757	Aldo Sambrell	['tt0059578', 'tt0058461', 'tt0060196', 'tt0099558']
nm0376915	Ian Hendry	['tt0067128', 'tt0059646', 'tt0059274', 'tt0054518']
nm0292159	John Fraser	['tt0059646', 'tt0054403', 'tt0054847', 'tt0054412']
nm0943859	Patrick Wymark	['tt0065207', 'tt0059646', 'tt0064072', 'tt0063285']
nm0898376	James Villiers	['tt0059646', 'tt0082398', 'tt0065009', 'tt0057334']
nm0299412	Hugh Futcher	['tt0059646', 'tt0211181', 'tt0056751', 'tt0059607']
nm0001626	Christopher Plummer	['tt1532503', 'tt0140352', 'tt3704050', 'tt5294550']
nm0370821	Richard Haydn	['tt0059742', 'tt0043274', 'tt0037515', 'tt0072431']
nm0358749	Nicholas Hammond	['tt0059742', 'tt0231402', 'tt7131622', 'tt0382992']
nm0153750	Duane Chase	['tt0059742', 'tt5788792', 'tt0058791', 'tt0040053']
nm0000125	Sean Connery	['tt0055928', 'tt0117500', 'tt0094226', 'tt0091605']
nm0148041	Adolfo Celi	['tt0059800', 'tt0062861', 'tt0184322', 'tt0181855']
nm0887607	Rik Van Nutter	['tt0059800', 'tt0148677', 'tt0164477', 'tt0058575']
nm0230934	Guy Doleman	['tt0059800', 'tt0059319', 'tt0053137', 'tt0060437']
nm0496866	Bernard Lee	['tt0066995', 'tt0071807', 'tt0070328', 'tt0055928']
nm0005155	Desmond Llewelyn	['tt0113189', 'tt0079574', 'tt0086034', 'tt0120347']
nm0813463	Anatoliy Solonitsyn	['tt0079944', 'tt0069293', 'tt0060107', 'tt0072443']
nm0487553	Ivan Lapikov	['tt0060107', 'tt0062757', 'tt0265964', 'tt0073488']
nm0342458	Nikolay Grinko	['tt0069293', 'tt0079944', 'tt0060107', 'tt0072443']
nm0785108	Nikolay Sergeev	['tt0060107', 'tt0046797', 'tt0053817', 'tt0174601']
nm0122168	Nikolay Burlyaev	['tt0056111', 'tt0060107', 'tt0091399', 'tt0110476']
nm0623350	Yuriy Nazarov	['tt0072443', 'tt0060107', 'tt0095574', 'tt2934916']
nm0631994	Yuriy Nikulin	['tt0062759', 'tt0059550', 'tt0060584', 'tt0065670']
nm0125909	Rolan Bykov	['tt0085335', 'tt0060083', 'tt0060107', 'tt0061876']
nm0333191	Nikolay Grabbe	['tt0060107', 'tt0188147', 'tt0186891', 'tt12168930']
nm0376101	David Hemmings	['tt0060176', 'tt0062711', 'tt0073582', 'tt0172495']
nm0145284	John Castle	['tt0063227', 'tt0107978', 'tt0068909', 'tt0060176']
nm0101248	Peter Bowles	['tt0200465', 'tt0060176', 'tt0078703', 'tt0144053']
nm0149615	Julian Chagrin	['tt0060176', 'tt0071355', 'tt9674966', 'tt0074919']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0908919	Eli Wallach	['tt0060196', 'tt0054047', 'tt0048973', 'tt0457939']
nm0001812	Lee Van Cleef	['tt0082340', 'tt0060196', 'tt0059578', 'tt0056217']
nm0001812	Lee Van Cleef	['tt0082340', 'tt0060196', 'tt0059578', 'tt0056217']
nm0321294	Aldo Giuffrè	['tt0060196', 'tt0063480', 'tt0066268', 'tt0057036']
nm0685559	Luigi Pistilli	['tt0060196', 'tt0059578', 'tt0063032', 'tt0067236']
nm0677654	Enzo Petito	['tt0060196', 'tt0049075', 'tt0054401', 'tt0131097']
nm0769116	Claudio Scarchilli	['tt0060196', 'tt0056358', 'tt0154805', 'tt0060261']
nm0058384	John Bartha	['tt0060196', 'tt0058865', 'tt0188483', 'tt0063859']
nm0520859	Livio Lorenzon	['tt0060196', 'tt0057720', 'tt0211033', 'tt0122779']
nm0085038	Gunnar Björnstrand	['tt0060827', 'tt0050976', 'tt0055499', 'tt0050986']
nm0512502	Jörgen Lindström	['tt0057611', 'tt0060740', 'tt0421280', 'tt0888279']
nm0000009	Richard Burton	['tt0061184', 'tt0087803', 'tt0059749', 'tt0057877']
nm0001719	George Segal	['tt0061184', 'tt1190080', 'tt0066563', 'tt0097778']
nm0281029	Frank Flanagan	['tt0055453', 'tt0984034']
nm0814799	Jean Sorel	['tt0069947', 'tt0061395', 'tt0059856', 'tt0065148']
nm0681566	Michel Piccoli	['tt0057345', 'tt0061395', 'tt1456472', 'tt0118613']
nm0167509	Pierre Clémenti	['tt0061395', 'tt0057091', 'tt0229088', 'tt0065571']
nm0148858	Claude Cerval	['tt0061395', 'tt0052698', 'tt0047892', 'tt0272389']
nm0000886	Warren Beatty	['tt0082979', 'tt0077663', 'tt0118798', 'tt0061418']
nm0689488	Michael J. Pollard	['tt0061418', 'tt0098439', 'tt0096061', 'tt0093886']
nm0000432	Gene Hackman	['tt0067116', 'tt0095647', 'tt0265666', 'tt0105695']
nm0701500	Denver Pyle	['tt0056217', 'tt0053479', 'tt0061418', 'tt0110478']
nm0852305	Dub Taylor	['tt0068638', 'tt0065214', 'tt0030993', 'tt0072288']
nm0000698	Gene Wilder	['tt0067992', 'tt0072431', 'tt0063462', 'tt0075223']
nm0000056	Paul Newman	['tt0054997', 'tt0257044', 'tt0084855', 'tt0110684']
nm0001421	George Kennedy	['tt0061512', 'tt0072288', 'tt0065377', 'tt0102510']
nm0001510	Strother Martin	['tt0076723', 'tt0061512', 'tt0065214', 'tt0065126']
nm0134201	J.D. Cannon	['tt0061512', 'tt0065317', 'tt0082250', 'tt0056757']
nm0031398	Lou Antonio	['tt0061512', 'tt0108724', 'tt0060028', 'tt0103512']
nm0238105	Robert Drivas	['tt0061512', 'tt0064473', 'tt0072089', 'tt0058835']
nm0416378	Clifton James	['tt0070328', 'tt0061512', 'tt0071807', 'tt0081573']
nm0940971	Morgan Woodward	['tt0061512', 'tt0080421', 'tt0089208', 'tt0060028']
nm0039435	Luke Askew	['tt0064276', 'tt0061512', 'tt0264616', 'tt0062886']
nm0001511	Lee Marvin	['tt0064782', 'tt0061578', 'tt0059017', 'tt0060862']
nm0000308	Ernest Borgnine	['tt0048356', 'tt0069113', 'tt0082340', 'tt0086662']
nm0000314	Charles Bronson	['tt0071402', 'tt0064116', 'tt0057115', 'tt0054047']
nm0001023	John Cassavetes	['tt0063522', 'tt0087644', 'tt0072417', 'tt0079672']
nm0000987	Jim Brown	['tt0116996', 'tt0093894', 'tt0146838', 'tt0061578']
nm0001395	Richard Jaeckel	['tt0088172', 'tt0061578', 'tt0083530', 'tt0070518']
nm0001421	George Kennedy	['tt0061512', 'tt0072288', 'tt0065377', 'tt0102510']
nm0530382	Trini López	['tt0061578', 'tt0112384', 'tt0368794', 'tt0096969']
nm0576127	Ralph Meeker	['tt0050825', 'tt0048261', 'tt0061578', 'tt0044953']
nm0752813	Robert Ryan	['tt0065214', 'tt0061578', 'tt0070212', 'tt0047849']
nm0000163	Dustin Hoffman	['tt0084805', 'tt0095953', 'tt0064665', 'tt0079417']
nm0200122	William Daniels	['tt0083483', 'tt0061722', 'tt0080453', 'tt0105958']
nm0358069	Murray Hamilton	['tt0073195', 'tt0061722', 'tt0077766', 'tt0052561']
nm0377750	Buck Henry	['tt0061722', 'tt0058805', 'tt0069495', 'tt0107050']
nm0043011	Brian Avery	['tt0070707', 'tt0061722', 'tt0181865', 'tt0059991']
nm0111754	Walter Brooke	['tt0061722', 'tt0066473', 'tt0054691', 'tt0067333']
nm0001205	Norman Fell	['tt0075596', 'tt0062765', 'tt0061722', 'tt0053946']
nm0001627	Sidney Poitier	['tt0061811', 'tt0057251', 'tt0061735', 'tt0051525']
nm0001768	Rod Steiger	['tt0061811', 'tt0047296', 'tt0059575', 'tt0067140']
nm0643105	Warren Oates	['tt0065214', 'tt0083131', 'tt0069762', 'tt0071249']
nm0309588	Larry Gates	['tt0049366', 'tt0051459', 'tt0061811', 'tt0044265']
nm0666247	James Patterson	['tt0061811', 'tt0070694', 'tt0446859', 'tt0058294']
nm0769974	William Schallert	['tt0093260', 'tt0061811', 'tt0056778', 'tt0061787']
nm0926338	Peter Whitney	['tt0045555', 'tt0061811', 'tt0065446', 'tt0039029']
nm0613794	Kermit Murdock	['tt0066769', 'tt0061811', 'tt0060028', 'tt0056743']
nm0365201	Phil Harris	['tt0070608', 'tt0061852', 'tt0065421', 'tt0102802']
nm0001982	Sebastian Cabot	['tt0061852', 'tt0054387', 'tt0057546', 'tt0059982']
nm0697515	Louis Prima	['tt0061852', 'tt7097896', 'tt0112641', 'tt3640424']
nm0718624	Bruce Reitherman	['tt0061852', 'tt0076363', 'tt0796280', 'tt0083452']
nm0001695	George Sanders	['tt0042192', 'tt0032976', 'tt0037988', 'tt0033873']
nm0001359	Sterling Holloway	['tt0076363', 'tt0061852', 'tt0065421', 'tt0043274']
nm0641729	J. Pat O'Malley	['tt0055254', 'tt0061852', 'tt0043274', 'tt0041094']
nm0641729	J. Pat O'Malley	['tt0055254', 'tt0061852', 'tt0043274', 'tt0041094']
nm0397212	Clint Howard	['tt0112384', 'tt0104231', 'tt0120484', 'tt0118655']
nm0835665	Chad Stuart	['tt0061852', 'tt1409024', 'tt7131622', 'tt0128445']
nm0001128	Alain Delon	['tt0062229', 'tt0057091', 'tt0054189', 'tt0056736']
nm0673749	François Périer	['tt0062229', 'tt0050783', 'tt0041719', 'tt0049259']
nm0503761	Jacques Leroy	['tt0062229', 'tt0065531', 'tt0067900', 'tt0386189']
nm0092330	Michel Boisrond	['tt0052795', 'tt0062229', 'tt0049063', 'tt0049040']
nm0269376	Robert Favart	['tt0065531', 'tt0062229', 'tt0193092', 'tt0072052']
nm0692680	Jean-Pierre Posier	['tt0062229', 'tt0065531', 'tt0067900', 'tt0054494']
nm0289516	Roger Fradet	['tt0065531', 'tt0062229', 'tt0067900', 'tt0055978']
nm0000125	Sean Connery	['tt0055928', 'tt0117500', 'tt0094226', 'tt0091605']
nm0848533	Tetsurô Tanba	['tt0062512', 'tt0058652', 'tt0056058', 'tt0057813']
nm0793574	Teru Shimada	['tt0062512', 'tt0041967', 'tt0052606', 'tt0024969']
nm0000587	Donald Pleasence	['tt0082495', 'tt0077651', 'tt0062512', 'tt0057115']
nm0496866	Bernard Lee	['tt0066995', 'tt0071807', 'tt0070328', 'tt0055928']
nm0005155	Desmond Llewelyn	['tt0113189', 'tt0079574', 'tt0086034', 'tt0120347']
nm0001158	Keir Dullea	['tt0062622', 'tt0055892', 'tt0071222', 'tt0086837']
nm0516972	Gary Lockwood	['tt0062622', 'tt0064679', 'tt0060028', 'tt0062975']
nm0843213	William Sylvester	['tt0062622', 'tt0054938', 'tt0075142', 'tt0073994']
nm0725220	Daniel Richter	['tt0062622', 'tt0181108', 'tt0066296', 'tt0270951']
nm0744436	Leonard Rossiter	['tt0062622', 'tt0073990', 'tt0075066', 'tt0063385']
nm0064235	Robert Beatty	['tt0075066', 'tt0062622', 'tt0094074', 'tt0043379']
nm0838330	Sean Sullivan	['tt0062622', 'tt0085407', 'tt0305636', 'tt0176357']
nm0706937	Douglas Rain	['tt0062622', 'tt0086837', 'tt1557775', 'tt0224397']
nm15447157	Frank W. Miller	['tt0062622']
nm0000537	Steve McQueen	['tt0057115', 'tt0063688', 'tt0070511', 'tt0062765']
nm0001816	Robert Vaughn	['tt0062765', 'tt0054047', 'tt0072308', 'tt0086393']
nm0330150	Don Gordon	['tt0072308', 'tt0070511', 'tt0062765', 'tt0099528']
nm0000380	Robert Duvall	['tt0118632', 'tt0086423', 'tt1872194', 'tt0316356']
nm0643000	Simon Oakland	['tt0054215', 'tt0055614', 'tt0062765', 'tt0069002']
nm0001205	Norman Fell	['tt0075596', 'tt0062765', 'tt0061722', 'tt0053946']
nm0113617	Georg Stanford Brown	['tt0081562', 'tt0075572', 'tt0062765', 'tt0081873']
nm0850607	Justin Tarr	['tt0062765', 'tt0064641', 'tt0060018', 'tt0077011']
nm0717947	Carl Reindel	['tt0066769', 'tt0062765', 'tt0066473', 'tt0044259']
nm0001813	Dick Van Dyke	['tt0058331', 'tt5028340', 'tt0054533', 'tt0062803']
nm0420383	Lionel Jeffries	['tt0062803', 'tt0058100', 'tt0061439', 'tt0061022']
nm0001350	Benny Hill	['tt0063869', 'tt0064505', 'tt0062803', 'tt0059797']
nm0002085	Gert Fröbe	['tt0058150', 'tt0062803', 'tt0051588', 'tt0060814']
nm0433150	James Robertson Justice	['tt0062803', 'tt0054953', 'tt0055205', 'tt0065243']
nm0375818	Robert Helpmann	['tt0062803', 'tt0076359', 'tt0040725', 'tt0069991']
nm0355265	Adrian Hall	['tt0062803', 'tt1461383', 'tt10601330', 'tt0068791']
nm0427977	Duane Jones	['tt0063350', 'tt0068619', 'tt0098482', 'tt0178965']
nm0362457	Karl Hardman	['tt0063350', 'tt0117549', 'tt2368716', 'tt12170010']
nm0915593	Keith Wayne	['tt0063350']
nm0185804	Charles Craig	['tt0063350', 'tt0094785', 'tt2188831', 'tt0083731']
nm0185804	Charles Craig	['tt0063350', 'tt0094785', 'tt2188831', 'tt0083731']
nm0386100	S. William Hinzman	['tt0109809', 'tt0063350', 'tt0069895', 'tt0091462']
nm0466916	George Kosana	['tt0063350', 'tt5009208', 'tt0166843', 'tt0072724']
nm0000032	Charlton Heston	['tt0052618', 'tt0049833', 'tt0070723', 'tt0067525']
nm0001522	Roddy McDowall	['tt0089175', 'tt0033729', 'tt0056937', 'tt0068408']
nm0263052	Maurice Evans	['tt0063442', 'tt0063522', 'tt0065462', 'tt0079367']
nm0926235	James Whitmore	['tt0111161', 'tt0073053', 'tt0041163', 'tt0120004']
nm0198446	James Daly	['tt0063442', 'tt0051214', 'tt0064087', 'tt0210015']
nm0348248	Robert Gunner	['tt0063442', 'tt0061832', 'tt0059991', 'tt0054540']
nm0905998	Lou Wagner	['tt0063442', 'tt0065377', 'tt0068408', 'tt0092455']
nm0661416	Woodrow Parfrey	['tt0075029', 'tt0066999', 'tt0070511', 'tt0063442']
nm0609216	Zero Mostel	['tt0063462', 'tt0078480', 'tt0074554', 'tt0060438']
nm0000698	Gene Wilder	['tt0067992', 'tt0072431', 'tt0063462', 'tt0075223']
nm0790071	Dick Shawn	['tt0057193', 'tt0063462', 'tt0086896', 'tt0118688']
nm0550318	Kenneth Mars	['tt0069495', 'tt0072431', 'tt0063462', 'tt0097757']
nm0381973	Christopher Hewett	['tt0063462', 'tt0088576', 'tt0077008', 'tt0044829']
nm0903867	Andréas Voutsinas	['tt0063462', 'tt0082517', 'tt0095250', 'tt0066495']
nm0205163	Michael Davis	['tt1628841', 'tt0063462', 'tt7588054']
nm0001023	John Cassavetes	['tt0063522', 'tt0087644', 'tt0072417', 'tt0079672']
nm0085782	Sidney Blackmer	['tt0063522', 'tt0049314', 'tt0025004', 'tt0023938']
nm0263052	Maurice Evans	['tt0063442', 'tt0063522', 'tt0065462', 'tt0079367']
nm0000897	Ralph Bellamy	['tt0032599', 'tt0034398', 'tt0086465', 'tt0063522']
nm0176879	Elisha Cook Jr.	['tt0051744', 'tt0063522', 'tt0049406', 'tt0033870']
nm0000056	Paul Newman	['tt0054997', 'tt0257044', 'tt0084855', 'tt0110684']
nm0000602	Robert Redford	['tt0087781', 'tt0081283', 'tt0064115', 'tt0074119']
nm0001510	Strother Martin	['tt0076723', 'tt0061512', 'tt0065214', 'tt0065126']
nm0428216	Henry Jones	['tt0052357', 'tt0099703', 'tt0064115', 'tt0050086']
nm0179786	Jeff Corey	['tt0065462', 'tt0065126', 'tt0065988', 'tt0064115']
nm0299149	George Furth	['tt0064115', 'tt0071230', 'tt0082136', 'tt0085894']
nm0144252	Ted Cassidy	['tt0064115', 'tt0057729', 'tt0060028', 'tt0073965']
nm0550318	Kenneth Mars	['tt0069495', 'tt0072431', 'tt0063462', 'tt0097757']
nm0000020	Henry Fonda	['tt0050083', 'tt0082846', 'tt0032551', 'tt0051207']
nm0000314	Charles Bronson	['tt0071402', 'tt0064116', 'tt0057115', 'tt0054047']
nm0001673	Jason Robards	['tt0074119', 'tt0175880', 'tt0064116', 'tt0098067']
nm0275213	Gabriele Ferzetti	['tt0064116', 'tt0053619', 'tt0064757', 'tt0071910']
nm0832375	Paolo Stoppa	['tt0057091', 'tt0064116', 'tt0054248', 'tt0082714']
nm0834754	Woody Strode	['tt0054331', 'tt0056217', 'tt0060862', 'tt0064116']
nm0001181	Jack Elam	['tt0064116', 'tt0082136', 'tt0065051', 'tt0048261']
nm0943978	Keenan Wynn	['tt0057012', 'tt0042200', 'tt0039853', 'tt0084237']
nm0938231	Frank Wolff	['tt0063032', 'tt0064116', 'tt0067446', 'tt0053610']
nm0001228	Peter Fonda	['tt0064276', 'tt0381849', 'tt0120402', 'tt0486946']
nm0000454	Dennis Hopper	['tt0064276', 'tt0090756', 'tt0111257', 'tt0114898']
nm0000197	Jack Nicholson	['tt0071315', 'tt0119822', 'tt0407887', 'tt0073486']
nm0579234	Antonio Mendoza	['tt0064276', 'tt0072012']
nm0817489	Phil Spector	['tt9362930', 'tt0092099', 'tt0092890', 'tt0070379']
nm0556349	Mac Mashourian	['tt0064276']
nm0278258	Warren Finnerty	['tt0061512', 'tt0064276', 'tt0407889', 'tt0054763']
nm0039435	Luke Askew	['tt0064276', 'tt0061512', 'tt0264616', 'tt0062886']
nm0000323	Michael Caine	['tt0468569', 'tt3312830', 'tt0482571', 'tt0124315']
nm0002021	Noël Coward	['tt0034891', 'tt0064505', 'tt0037558', 'tt0048960']
nm0001350	Benny Hill	['tt0063869', 'tt0064505', 'tt0062803', 'tt0059797']
nm0885203	Raf Vallone	['tt0064505', 'tt0099674', 'tt0056668', 'tt0076507']
nm0065777	Tony Beckley	['tt0064505', 'tt0067128', 'tt0080130', 'tt0069273']
nm0106387	Rossano Brazzi	['tt0046754', 'tt0052225', 'tt0064505', 'tt0047580']
nm0494452	John Le Mesurier	['tt0064505', 'tt0072608', 'tt0058371', 'tt0066963']
nm0256584	Fred Emney	['tt0064505', 'tt0049241', 'tt0063385', 'tt0031522']
nm0000163	Dustin Hoffman	['tt0084805', 'tt0095953', 'tt0064665', 'tt0079417']
nm0000685	Jon Voight	['tt0064665', 'tt0118615', 'tt0418279', 'tt0068473']
nm0569410	John McGiver	['tt0054698', 'tt0056218', 'tt0061281', 'tt0064665']
nm0400464	Barnard Hughes	['tt0093437', 'tt0084827', 'tt0108147', 'tt0101745']
nm0710250	Gilman Rankin	['tt0074156', 'tt0064665', 'tt0416105', 'tt0042367']
nm4734214	Gary Owens	['tt0064665']
nm0493872	George Lazenby	['tt0064757', 'tt0107007', 'tt0308937', 'tt0091621']
nm0001699	Telly Savalas	['tt0069599', 'tt0064757', 'tt0065938', 'tt0055824']
nm0275213	Gabriele Ferzetti	['tt0064116', 'tt0053619', 'tt0064757', 'tt0071910']
nm0048468	George Baker	['tt0064757', 'tt0076752', 'tt0074006', 'tt0048611']
nm0496866	Bernard Lee	['tt0066995', 'tt0071807', 'tt0070328', 'tt0055928']
nm0395420	Bernard Horsfall	['tt0112573', 'tt0064757', 'tt0083987', 'tt0162077']
nm0005155	Desmond Llewelyn	['tt0113189', 'tt0079574', 'tt0086034', 'tt0120347']
nm0000078	John Wayne	['tt0065126', 'tt0056217', 'tt0075213', 'tt0053580']
nm0004794	Glen Campbell	['tt0065126', 'tt0149523', 'tt6565702', 'tt0149261']
nm0805177	Jeremy Slate	['tt0059740', 'tt0065126', 'tt0104692', 'tt0062886']
nm0000380	Robert Duvall	['tt0118632', 'tt0086423', 'tt1872194', 'tt0316356']
nm0000454	Dennis Hopper	['tt0064276', 'tt0090756', 'tt0111257', 'tt0114898']
nm0753086	Alfred Ryder	['tt0065126', 'tt0060028', 'tt0039881', 'tt0061265']
nm0001510	Strother Martin	['tt0076723', 'tt0061512', 'tt0065214', 'tt0065126']
nm0179786	Jeff Corey	['tt0065462', 'tt0065126', 'tt0065988', 'tt0064115']
nm0811824	Ron Soble	['tt0065126', 'tt0060028', 'tt0070511', 'tt0065547']
nm0000009	Richard Burton	['tt0061184', 'tt0087803', 'tt0059749', 'tt0057877']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0943859	Patrick Wymark	['tt0065207', 'tt0059646', 'tt0064072', 'tt0063285']
nm0394588	Michael Hordern	['tt0065207', 'tt0078480', 'tt0044008', 'tt0072684']
nm0396819	Donald Houston	['tt0082186', 'tt0065207', 'tt0056197', 'tt0059764']
nm0055134	Peter Barkworth	['tt0065207', 'tt0066206', 'tt0198209', 'tt0958967']
nm0820109	William Squire	['tt0077869', 'tt0056751', 'tt0065207', 'tt0064030']
nm0064235	Robert Beatty	['tt0075066', 'tt0062622', 'tt0094074', 'tt0043379']
nm0930180	Brook Williams	['tt0065207', 'tt0078492', 'tt0064030', 'tt0054518']
nm0000034	William Holden	['tt0046359', 'tt0047437', 'tt0043014', 'tt0074958']
nm0000308	Ernest Borgnine	['tt0048356', 'tt0069113', 'tt0082340', 'tt0086662']
nm0752813	Robert Ryan	['tt0065214', 'tt0061578', 'tt0070212', 'tt0047849']
nm0639529	Edmond O'Brien	['tt0056217', 'tt0046754', 'tt0058576', 'tt0042369']
nm0643105	Warren Oates	['tt0065214', 'tt0083131', 'tt0069762', 'tt0071249']
nm0844969	Jaime Sánchez	['tt0065214', 'tt0106519', 'tt0059575', 'tt0103759']
nm0424565	Ben Johnson	['tt0067328', 'tt0065214', 'tt0068638', 'tt0072705']
nm0273477	Emilio Fernández	['tt0037981', 'tt0065214', 'tt0038510', 'tt0039793']
nm0001510	Strother Martin	['tt0076723', 'tt0061512', 'tt0065214', 'tt0065126']
nm0428618	L.Q. Jones	['tt0119051', 'tt0120746', 'tt0065214', 'tt0112641']
nm0365201	Phil Harris	['tt0070608', 'tt0061852', 'tt0065421', 'tt0102802']
nm0001359	Sterling Holloway	['tt0076363', 'tt0061852', 'tt0065421', 'tt0043274']
nm0001079	Scatman Crothers	['tt0081505', 'tt0073486', 'tt0086491', 'tt0065421']
nm0934593	Paul Winchell	['tt0076363', 'tt0065421', 'tt0082406', 'tt0072410']
nm0399913	Lord Tim Hudson	['tt0061852', 'tt0065421', 'tt0284051']
nm0780005	Vito Scotti	['tt0068646', 'tt0065421', 'tt0107659', 'tt0064117']
nm0712391	Thurl Ravenscroft	['tt0092695', 'tt0065421', 'tt0055254', 'tt0377981']
nm0163849	Dean Clark	['tt0065421', 'tt12494574']
nm0002082	James Franciscus	['tt0065462', 'tt0065761', 'tt0079227', 'tt0070248']
nm0263052	Maurice Evans	['tt0063442', 'tt0063522', 'tt0065462', 'tt0079367']
nm0000032	Charlton Heston	['tt0052618', 'tt0049833', 'tt0070723', 'tt0067525']
nm0724268	Paul Richards	['tt0065462', 'tt0050719', 'tt0062301', 'tt0048261']
nm0120658	Victor Buono	['tt0056687', 'tt0065462', 'tt0058529', 'tt0058213']
nm0339834	James Gregory	['tt0056218', 'tt0065462', 'tt0060728', 'tt0072472']
nm0179786	Jeff Corey	['tt0065462', 'tt0065126', 'tt0065988', 'tt0064115']
nm0000142	Clint Eastwood	['tt0405159', 'tt1205489', 'tt0186566', 'tt0105695']
nm0001699	Telly Savalas	['tt0069599', 'tt0064757', 'tt0065938', 'tt0055824']
nm0725543	Don Rickles	['tt0065938', 'tt0112641', 'tt0114709', 'tt0120363']
nm0005279	Carroll O'Connor	['tt0066626', 'tt0094484', 'tt0078562', 'tt0065938']
nm0000661	Donald Sutherland	['tt1951264', 'tt0414387', 'tt0067309', 'tt1951265']
nm0533891	Gavin MacLeod	['tt0065314', 'tt0065938', 'tt0063415', 'tt0075529']
nm0118608	Hal Buckley	['tt0065938', 'tt0271280', 'tt0058834', 'tt0083446']
nm0546765	Stuart Margolin	['tt0071402', 'tt0071042', 'tt1764183', 'tt0065938']
nm0606628	Jeff Morris	['tt0080455', 'tt0065938', 'tt0118747', 'tt0305224']
nm0202501	Richard Davalos	['tt0048028', 'tt0061512', 'tt0065938', 'tt0054515']
nm0000661	Donald Sutherland	['tt1951264', 'tt0414387', 'tt0067309', 'tt1951265']
nm0001285	Elliott Gould	['tt0066026', 'tt0240772', 'tt0496806', 'tt0070334']
nm0000643	Tom Skerritt	['tt0078748', 'tt0118884', 'tt0092099', 'tt0098384']
nm0000380	Robert Duvall	['tt0118632', 'tt0086423', 'tt1872194', 'tt0316356']
nm0100911	Roger Bowen	['tt0066026', 'tt0103241', 'tt0077663', 'tt0075357']
