nconst	primaryName	knownForTitles
nm0089162	Frederick Vroom	['tt0017925', 'tt0015163', 'tt0011244', 'tt0187452']
nm1070961	Frank Barnes	['tt0017925', 'tt0040976']
nm0807667	Charles Henry Smith	['tt0017925', 'tt0016630', 'tt0012691', 'tt0013440']
nm0444172	Joe Keaton	['tt0015324', 'tt0017925', 'tt0014341', 'tt0011071']
nm0232592	Mike Donlin	['tt0017925', 'tt0017354', 'tt0008489', 'tt0009739']
nm0623189	Tom Nawn	['tt0017925', 'tt0005585', 'tt1601920']
nm0639563	George O'Brien	['tt0018455', 'tt0020223', 'tt0040369', 'tt0031630']
nm0531759	J. Farrell MacDonald	['tt0018455', 'tt0038762', 'tt0033677', 'tt0033891']
nm0802684	Ralph Sipperly	['tt0018455', 'tt0014477', 'tt0016664', 'tt0017577']
nm0396768	Arthur Housman	['tt0018455', 'tt0016629', 'tt0010157', 'tt0015116']
nm0092665	Eddie Boland	['tt0018455', 'tt0013450', 'tt0022077', 'tt0234934']
nm0082884	Herman Bing	['tt0030202', 'tt0026920', 'tt0030817', 'tt0025251']
nm0798564	Eugene Silvain	['tt0019254', 'tt0431271']
nm0075551	André Berley	['tt0019254', 'tt0022263', 'tt0910907', 'tt3146082']
nm0776914	Maurice Schutz	['tt0019254', 'tt0023649', 'tt0160166', 'tt0027607']
nm0037625	Antonin Artaud	['tt0019254', 'tt0026660', 'tt0018192', 'tt0192089']
nm0800302	Michel Simon	['tt0030643', 'tt0024844', 'tt0059825', 'tt0063771']
nm0195956	Jean d'Yd	['tt0019254', 'tt0038728', 'tt0039310', 'tt0193856']
nm0712416	Louis Ravet	['tt0019254', 'tt0434033', 'tt0142088', 'tt0011294']
nm0527127	Armand Lurville	['tt0019254', 'tt0025027', 'tt0158777', 'tt0030252']
nm0036307	Jacques Arnna	['tt0019254', 'tt0263151', 'tt0188584', 'tt0189027']
nm0000817	Lew Ayres	['tt0030241', 'tt0020629', 'tt0069768', 'tt0040495']
nm0938464	Louis Wolheim	['tt0020629', 'tt0018515', 'tt0019304', 'tt0021376']
nm0942046	John Wray	['tt0020629', 'tt0022827', 'tt0027996', 'tt0023935']
nm0524803	Arnold Lucy	['tt0020629', 'tt0332709', 'tt0013110', 'tt0022142']
nm0018273	Ben Alexander	['tt0020629', 'tt0043194', 'tt0013884', 'tt0016198']
nm0464131	Scott Kolk	['tt0020629', 'tt0029530', 'tt0020143', 'tt0029274']
nm0204113	Owen Davis Jr.	['tt0027408', 'tt0020629', 'tt0028111', 'tt0029054']
nm0737253	Walter Rogers	['tt0020629', 'tt0020387']
