tconst	primaryTitle	startYear	genres	actors	directors
tt0191397	The Replacements	2000.0	['Comedy', 'Sport']	['nm0000206', 'nm0000432', 'nm0428963', 'nm0522324', 'nm0848075', 'nm0948483', 'nm0934569', 'nm0219292', 'nm0269463']	['nm0222043']
tt0191754	28 Days	2000.0	['Comedy', 'Drama']	['nm0001557', 'nm0922035', 'nm0000114', 'nm0876138', 'nm0005282', 'nm0763858']	['nm0858525']
tt0195685	Erin Brockovich	2000.0	['Biography', 'Drama']	['nm0001215', 'nm0109773', 'nm0735538', 'nm0838081', 'nm0804361', 'nm0318678']	['nm0001752']
tt0195714	Final Destination	2000.0	['Horror', 'Thriller']	['nm0001701', 'nm0005445', 'nm0736263', 'nm0809793', 'nm0232414', 'nm0005405', 'nm0865302']	['nm0939128']
tt0196229	Zoolander	2001.0	['Comedy']	['nm0001774', 'nm0005562', 'nm0002071', 'nm0005467', 'nm0000141', 'nm0000685', 'nm0295103', 'nm1052534']	['nm0001774']
tt0198781	Monsters, Inc.	2001.0	['Adventure', 'Animation', 'Comedy']	['nm0000345', 'nm0000422', 'nm0000114', 'nm0000336', 'nm0677037', 'nm0001652', 'nm0000568', 'nm0314870', 'nm0314870']	['nm0230032']
tt0199753	Red Planet	2000.0	['Action', 'Sci-Fi', 'Thriller']	['nm0000174', 'nm0001744', 'nm0000973', 'nm0048932', 'nm0000654', 'nm0624727', 'nm0743719', 'nm0743719']	['nm0388817']
tt0200465	The Bank Job	2008.0	['Crime', 'Drama', 'Thriller']	['nm0005458', 'nm1304386', 'nm0990547', 'nm0269077', 'nm0202810', 'nm1106960', 'nm0513201', 'nm0101248']	['nm0002044']
tt0200550	Coyote Ugly	2000.0	['Comedy', 'Drama', 'Music']	['nm0305081', 'nm0000422', 'nm0672360', 'nm0922995']	['nm0573589']
tt0203009	Moulin Rouge!	2001.0	['Drama', 'Musical', 'Romance']	['nm0000191', 'nm0000491', 'nm0000980', 'nm0746896', 'nm0567769', 'nm0464522', 'nm0974592']	['nm0525303']
tt0203019	Men of Honor	2000.0	['Biography', 'Drama']	['nm0000421', 'nm0000134', 'nm0001358', 'nm0001650', 'nm0000959', 'nm0001418', 'nm0564697', 'nm0175633', 'nm0175633', 'nm0175633']	['nm0863387']
tt0203119	Sexy Beast	2000.0	['Crime', 'Drama', 'Thriller']	['nm0935653', 'nm0001426', 'nm0574534', 'nm0289038', 'nm0447576', 'nm0598192', 'nm0040517']	['nm0322242']
tt0204946	Bring It On	2000.0	['Comedy', 'Romance', 'Sport']	['nm0103038', 'nm0922263', 'nm0728757']	['nm0715636']
tt0205000	Deuce Bigalow: Male Gigolo	1999.0	['Comedy', 'Romance']	['nm0001705', 'nm0001235', 'nm0341176', 'nm0004912', 'nm0726223', 'nm0101559']	['nm0593610']
tt0206275	Save the Last Dance	2001.0	['Drama', 'Music', 'Romance']	['nm0859503', 'nm0823507', 'nm0455767', 'nm0338393', 'nm0926405', 'nm0907539']	['nm0141961']
tt0206314	Joy Ride	2001.0	['Action', 'Mystery', 'Thriller']	['nm0001872', 'nm0908094', 'nm0832187', 'nm0908534', 'nm0496082', 'nm0950306']	['nm0001093']
tt0206634	Children of Men	2006.0	['Action', 'Drama', 'Sci-Fi']	['nm0654110', 'nm0252230', 'nm0000323', 'nm0944819', 'nm1035253', 'nm2474359', 'nm0272055']	['nm0190859']
tt0207201	What Women Want	2000.0	['Comedy', 'Fantasy', 'Romance']	['nm0000154', 'nm0000257', 'nm0275417']	['nm0583600']
tt0208003	Big Momma's House	2000.0	['Action', 'Comedy', 'Crime']	['nm0001454', 'nm0316079', 'nm0913465', 'nm0005024', 'nm0026364', 'nm0942266']	['nm0331532']
tt0208092	Snatch	2000.0	['Comedy', 'Crime']	['nm0005458', 'nm0000093', 'nm0334318', 'nm0005068', 'nm0011744', 'nm0065307', 'nm0065874', 'nm0001971', 'nm0118473', 'nm0134774']	['nm0005363']
tt0209144	Memento	2000.0	['Mystery', 'Thriller']	['nm0001602', 'nm0001592', 'nm0095478', 'nm0270383', 'nm0864997', 'nm0502073', 'nm0719678']	['nm0634240']
tt0209163	The Mummy Returns	2001.0	['Action', 'Adventure', 'Fantasy']	['nm0000409', 'nm0001314', 'nm0903677', 'nm0004912', 'nm0090222', 'nm0035605', 'nm0425005', 'nm0015382']	['nm0814085']
tt0209475	The Wedding Planner	2001.0	['Comedy', 'Romance']	['nm0000190', 'nm0150362', 'nm0733678', 'nm0453909', 'nm0001629', 'nm0929609']	['nm0788202']
tt0209958	The Cell	2000.0	['Crime', 'Horror', 'Sci-Fi']	['nm0000681', 'nm0000352', 'nm0416381', 'nm0048414', 'nm0065418', 'nm0000872']	['nm0802248']
tt0210070	Ginger Snaps	2000.0	['Drama', 'Fantasy', 'Horror']	['nm0501210', 'nm1536605', 'nm0099909', 'nm0445420', 'nm0714992', 'nm0532833']	['nm0269502']
tt0210945	Remember the Titans	2000.0	['Biography', 'Comedy', 'Drama']	['nm0000243', 'nm0001599', 'nm0365445', 'nm0403652', 'nm0265668', 'nm0456796', 'nm0839486', 'nm0661164']	['nm0945026']
tt0211443	Jason X	2001.0	['Action', 'Horror', 'Sci-Fi']	['nm0387987', 'nm0387987', 'nm0311473', 'nm0000343', 'nm0661508', 'nm0693436', 'nm0862820', 'nm0132310']	['nm0410494']
tt0211915	Amélie	2001.0	['Comedy', 'Romance']	['nm0440913', 'nm0749363', 'nm0581014', 'nm0213354', 'nm0684500']	['nm0000466']
tt0211933	Awake	2007.0	['Crime', 'Drama', 'Mystery']	['nm0159789', 'nm0005024', 'nm0001520', 'nm0730168', 'nm0397124', 'nm0001770', 'nm1092086']	['nm1703612']
tt0212338	Meet the Parents	2000.0	['Comedy', 'Romance']	['nm0001774', 'nm0000134', 'nm0009016', 'nm0005562', 'nm0714310', 'nm0565336']	['nm0005366']
tt0212346	Miss Congeniality	2000.0	['Action', 'Comedy', 'Crime']	['nm0000323', 'nm0000973', 'nm0000638', 'nm0001368', 'nm0228180', 'nm0598569']	['nm0677953']
tt0212712	2046	2004.0	['Drama', 'Romance', 'Sci-Fi']	['nm0504897', 'nm0454120', 'nm0454120', 'nm0151654', 'nm0570824']	['nm0939182']
tt0212720	A.I. Artificial Intelligence	2001.0	['Adventure', 'Drama', 'Sci-Fi']	['nm0005286', 'nm0000179', 'nm0730168', 'nm0858969', 'nm0000458', 'nm0504962', 'nm0163988', 'nm0839934', 'nm0303132']	['nm0000229']
tt0212985	Hannibal	2001.0	['Crime', 'Drama', 'Thriller']	['nm0000164', 'nm0000198', 'nm0000501', 'nm0265670', 'nm0316284', 'nm0411964', 'nm0028625']	['nm0000631']
tt0213149	Pearl Harbor	2001.0	['Action', 'Drama', 'Romance']	['nm0000255', 'nm0001326', 'nm0005406', 'nm0957643', 'nm0001971', 'nm0000285']	['nm0000881']
tt0213847	Malena	2000.0	['Drama', 'Romance', 'War']	['nm0837868', 'nm0270119', 'nm0636537', 'nm0036907', 'nm0406911', 'nm0671010', 'nm0699110']	['nm0868153']
tt0215129	Road Trip	2000.0	['Comedy']	['nm0005227', 'nm0005405', 'nm0182455', 'nm0702809', 'nm0710829', 'nm0911542', 'nm0338381', 'nm0004873']	['nm0680846']
tt0215750	Enemy at the Gates	2001.0	['Action', 'Drama', 'War']	['nm0000179', 'nm0000438', 'nm0001212', 'nm0001364', 'nm0000579', 'nm0861003', 'nm0352278']	['nm0000269']
tt0216216	The 6th Day	2000.0	['Action', 'Mystery', 'Sci-Fi']	['nm0000216', 'nm0001650', 'nm0001282', 'nm0740264', 'nm0746737', 'nm0187719', 'nm0688285', 'nm0192271']	['nm0006854']
tt0217505	Gangs of New York	2002.0	['Crime', 'Drama']	['nm0000138', 'nm0000358', 'nm0000980', 'nm0000604', 'nm0001794', 'nm0000553', 'nm0322407', 'nm0507207', 'nm0334318']	['nm0000217']
tt0217869	Unbreakable	2000.0	['Drama', 'Mystery', 'Sci-Fi']	['nm0000246', 'nm0000168', 'nm0004829', 'nm0907708', 'nm0417189', 'nm0160542']	['nm0796117']
tt0218839	Best in Show	2000.0	['Comedy']	['nm0929609', 'nm0506405', 'nm0106319', 'nm0330195', 'nm0000794', 'nm0133988']	['nm0001302']
tt0218922	Original Sin	2001.0	['Crime', 'Drama', 'Mystery']	['nm0000104', 'nm0005048', 'nm0005048', 'nm0005048', 'nm0860233', 'nm0411857', 'nm0369754', 'nm0001917']	['nm0188165']
tt0218967	The Family Man	2000.0	['Comedy', 'Drama', 'Fantasy']	['nm0000115', 'nm0000332', 'nm0005315', 'nm0007210', 'nm0813977', 'nm0587572', 'nm0587574']	['nm0711840']
tt0219699	The Gift	2000.0	['Drama', 'Fantasy', 'Horror']	['nm0000206', 'nm0000610', 'nm0001427', 'nm0005052', 'nm0170550']	['nm0000600']
tt0219965	Bandits	2001.0	['Comedy', 'Crime', 'Drama']	['nm0000246', 'nm0000671', 'nm0004949', 'nm0639928', 'nm0805653']	['nm0001469']
tt0220506	Halloween: Resurrection	2002.0	['Horror', 'Thriller']	['nm0005354', 'nm0520562', 'nm0859503', 'nm0456186', 'nm0005272', 'nm0581365']	['nm0742819']
tt0221027	Blow	2001.0	['Biography', 'Crime', 'Drama']	['nm0000136', 'nm0000607', 'nm0003244', 'nm0193295', 'nm0762153', 'nm0839486', 'nm0000501']	['nm0001130']
tt0223897	Pay It Forward	2000.0	['Drama']	['nm0000228', 'nm0005286', 'nm0001542', 'nm0001029', 'nm0000954', 'nm0708981', 'nm0921550']	['nm0001460']
tt0227445	The Score	2001.0	['Action', 'Crime', 'Drama']	['nm0000134', 'nm0001570', 'nm0001570', 'nm0000008', 'nm0001200', 'nm0813015', 'nm0365988', 'nm0396369', 'nm0653484', 'nm0236838']	['nm0000568']
tt0227538	Spy Kids	2001.0	['Action', 'Adventure', 'Comedy']	['nm0754512', 'nm0000104', 'nm0001086', 'nm0001724', 'nm0001507', 'nm0001598', 'nm0001803']	['nm0001675']
tt0227984	Formula 51	2001.0	['Action', 'Comedy', 'Crime']	['nm0000168', 'nm0001015', 'nm0926205', 'nm0422514', 'nm0001533', 'nm0008940', 'nm0567881', 'nm0841947', 'nm0916360']	['nm0950553']
tt0228333	Ghosts of Mars	2001.0	['Action', 'Horror', 'Sci-Fi']	['nm0001084', 'nm0005458', 'nm0149150', 'nm0906617', 'nm0204523']	['nm0000118']
tt0228750	Proof of Life	2000.0	['Action', 'Drama', 'Thriller']	['nm0000128', 'nm0001556', 'nm0000325', 'nm0372217', 'nm0027454', 'nm0424167', 'nm0035605', 'nm0457655']	['nm0000431']
tt0228786	The Crimson Rivers	2000.0	['Crime', 'Mystery', 'Thriller']	['nm0000606', 'nm0001993', 'nm0067955', 'nm0144045', 'nm0280955', 'nm0505159', 'nm0619600']	['nm0440913']
tt0230011	Atlantis: The Lost Empire	2001.0	['Action', 'Adventure', 'Animation']	['nm0000150', 'nm0001815', 'nm0123553', 'nm0001258', 'nm0001498', 'nm0606862', 'nm0000559', 'nm0637038']	['nm0873779', 'nm0936374']
tt0230030	Bedazzled	2000.0	['Comedy', 'Fantasy']	['nm0000409', 'nm0428963', 'nm0428963', 'nm0428963', 'nm0011882', 'nm0011882', 'nm0011882', 'nm0403947', 'nm0403947', 'nm0403947', 'nm0144133', 'nm0236519', 'nm0234731']	['nm0000601']
tt0230600	The Others	2001.0	['Horror', 'Mystery', 'Thriller']	['nm0001172', 'nm0972848', 'nm0843059', 'nm0717276', 'nm0020717']	['nm0024622']
tt0230838	Sweet November	2001.0	['Drama', 'Romance']	['nm0000206', 'nm0005042', 'nm0314524', 'nm0014582', 'nm0431451', 'nm0742146', 'nm0742146', 'nm0001449', 'nm0006463']	['nm0640466']
tt0232500	The Fast and the Furious	2001.0	['Action', 'Crime', 'Thriller']	['nm0004874', 'nm0908094', 'nm0950935', 'nm0511349', 'nm0835001', 'nm0776580', 'nm0505971', 'nm0750019']	['nm0003418']
tt0233469	Collateral Damage	2002.0	['Action', 'Drama', 'Thriller']	['nm0000216', 'nm0000491', 'nm0000480', 'nm0193295', 'nm0001806', 'nm0006987', 'nm0692677', 'nm0587379', 'nm0941796']	['nm0001112']
tt0234215	The Matrix Reloaded	2003.0	['Action', 'Sci-Fi']	['nm0000206', 'nm0000401', 'nm0915989', 'nm0030991', 'nm1060253', 'nm0048127', 'nm0060561']	['nm0905154', 'nm0905152']
tt0235198	Audition	1999.0	['Drama', 'Horror', 'Mystery']	['nm0410903', 'nm0768017', 'nm0475165', 'nm0410902', 'nm0652592', 'nm0756519', 'nm0594073']	['nm0586281']
tt0236493	The Mexican	2001.0	['Adventure', 'Comedy', 'Drama']	['nm0000093', 'nm0001254', 'nm0799777', 'nm0000837', 'nm0041978', 'nm0148964', 'nm0000432', 'nm0168044', 'nm0472710']	['nm0893659']
tt0237534	Brotherhood of the Wolf	2001.0	['Action', 'Adventure', 'Drama']	['nm0494078', 'nm0001092', 'nm0753737', 'nm0001993', 'nm0674742', 'nm0545048', 'nm0619600']	['nm0304521']
tt0237572	The Pledge	2001.0	['Crime', 'Drama', 'Mystery']	['nm0000197', 'nm0001125', 'nm0199840', 'nm0234235', 'nm0001173', 'nm0998923']	['nm0000576']
tt0238380	Equilibrium	2002.0	['Action', 'Drama', 'Sci-Fi']	['nm0000288', 'nm0000293', 'nm0004875', 'nm0700712', 'nm0434968', 'nm1013098', 'nm0675730', 'nm0001209', 'nm0005171']	['nm0934483']
tt0238546	Queen of the Damned	2002.0	['Drama', 'Fantasy', 'Horror']	['nm0870204', 'nm0001641', 'nm0001524', 'nm0543580', 'nm0817748', 'nm0628563']	['nm0753382']
tt0239395	Cats & Dogs	2001.0	['Action', 'Adventure', 'Comedy']	['nm0000285', 'nm0001497', 'nm0000156', 'nm0689627', 'nm0622452', 'nm0003964']	['nm0349183']
tt0240515	Freddy Got Fingered	2001.0	['Comedy']	['nm0338381', 'nm0001800', 'nm0858776', 'nm0005558', 'nm0001309', 'nm0203768', 'nm0927045', 'nm0852647']	['nm0338381']
tt0240772	Ocean's Eleven	2001.0	['Crime', 'Thriller']	['nm0000123', 'nm0000093', 'nm0000354', 'nm0634342', 'nm0005170', 'nm0304629']	['nm0001752']
tt0240890	Serendipity	2001.0	['Comedy', 'Romance']	['nm0000131', 'nm0005315', 'nm0506405', 'nm0345380', 'nm1152476', 'nm1056824', 'nm0817102']	['nm0155093']
tt0241303	Chocolat	2000.0	['Drama', 'Romance']	['nm0000136', 'nm0000547', 'nm0661311', 'nm0317884', 'nm0695461', 'nm0174983']	['nm0002120']
tt0241527	Harry Potter and the Sorcerer's Stone	2001.0	['Adventure', 'Family', 'Fantasy']	['nm0705356', 'nm0342488', 'nm0001321', 'nm0001059', 'nm1196732', 'nm0577982', 'nm0341743']	['nm0001060']
tt0242423	Dude, Where's My Car?	2000.0	['Comedy', 'Mystery', 'Sci-Fi']	['nm0005110', 'nm0005405', 'nm0379114', 'nm0005452', 'nm0640039', 'nm0866019', 'nm0585456']	['nm0500444']
tt0242519	Hera Pheri	2000.0	['Action', 'Comedy', 'Crime']	['nm0474774', 'nm0792911', 'nm0712546', 'nm0700875', 'nm0004109', 'nm0451425', 'nm0451383', 'nm2147526', 'nm0451299']	['nm0698184']
tt0242653	The Matrix Revolutions	2003.0	['Action', 'Sci-Fi']	['nm0000206', 'nm0000401', 'nm0915989', 'nm0048127']	['nm0905154', 'nm0905152']
tt0243017	Waking Life	2001.0	['Animation', 'Drama', 'Fantasy']	['nm0000160', 'nm1085025', 'nm0927812', 'nm0318666']	['nm0000500']
tt0243133	The Man Who Wasn't There	2001.0	['Crime', 'Drama']	['nm0000671', 'nm0045937', 'nm0001254', 'nm0689237', 'nm0420955', 'nm0001724', 'nm0471258']	['nm0001054']
tt0243155	Bridget Jones's Diary	2001.0	['Comedy', 'Drama', 'Romance']	['nm0000147', 'nm0000424', 'nm0269077', 'nm0000980', 'nm0111727']	['nm0536632']
tt0243585	Stuart Little 2	2002.0	['Adventure', 'Comedy', 'Family']	['nm0000150', 'nm0491402', 'nm0005151', 'nm0001447', 'nm0000249', 'nm0001872']	['nm0591450']
tt0243655	Wet Hot American Summer	2001.0	['Comedy', 'Romance']	['nm0001383', 'nm0795290', 'nm0795290', 'nm0748620', 'nm0651008', 'nm0005221', 'nm0587043', 'nm0414416']	['nm0906476']
tt0243736	40 Days and 40 Nights	2002.0	['Comedy', 'Romance']	['nm0001326', 'nm0182455', 'nm0872242', 'nm1036135', 'nm0280245']	['nm0499724']
tt0244244	Swordfish	2001.0	['Action', 'Crime', 'Thriller']	['nm0000237', 'nm0413168', 'nm0000332', 'nm0001731', 'nm0005068', 'nm0553020', 'nm0340260']	['nm0784061']
tt0245429	Spirited Away	2001.0	['Adventure', 'Animation', 'Family']	['nm0997115', 'nm0619822', 'nm0309107', 'nm1126340']	['nm0594503']
tt0245562	Windtalkers	2002.0	['Action', 'Drama', 'War']	['nm0000115', 'nm0063440', 'nm0001780', 'nm0001187', 'nm0749263', 'nm0887144', 'nm0376540', 'nm0932194', 'nm0000225']	['nm0000247']
tt0245574	Y tu mamá también	2001.0	['Drama']	['nm0305558', 'nm0319843', 'nm0526019', 'nm0342400', 'nm0753810']	['nm0190859']
tt0245674	Thir13en Ghosts	2001.0	['Fantasy', 'Horror']	['nm0001724', 'nm0000498', 'nm0730809', 'nm0100068', 'nm0000719', 'nm0365755', 'nm0750474']	['nm0065284']
tt0245686	Joe Dirt	2001.0	['Adventure', 'Comedy', 'Drama']	['nm0005450', 'nm0588222', 'nm0063440', 'nm0000686', 'nm0005376', 'nm0838059']	['nm0330140']
tt0245712	Amores Perros	2000.0	['Drama', 'Thriller']	['nm0248408', 'nm0305558', 'nm0346270', 'nm0758364', 'nm0702270', 'nm0615249', 'nm0124579', 'nm0132480']	['nm0327944']
tt0245803	Bulletproof Monk	2003.0	['Action', 'Comedy', 'Fantasy']	['nm0000334', 'nm0005405', 'nm0734558', 'nm1070061', 'nm0538683', 'nm0950619', 'nm0172220', 'nm0068511']	['nm0402995']
tt0245844	The Count of Monte Cristo	2002.0	['Action', 'Adventure', 'Drama']	['nm0001029', 'nm0001602', 'nm0011478', 'nm1072611', 'nm0137397', 'nm0144282', 'nm0147147', 'nm0182514']	['nm0721817']
tt0246460	Die Another Day	2002.0	['Action', 'Adventure', 'Thriller']	['nm0000112', 'nm0827170', 'nm0950935', 'nm0000092', 'nm0000514', 'nm0498449', 'nm0874684']	['nm0848414']
tt0246578	Donnie Darko	2001.0	['Drama', 'Mystery', 'Sci-Fi']	['nm0350453', 'nm0651660', 'nm0001166', 'nm0851833', 'nm0000664', 'nm0389015']	['nm0446819']
tt0247586	Nine Queens	2000.0	['Crime', 'Drama', 'Thriller']	['nm0201857', 'nm0667282', 'nm0180767', 'nm1005439', 'nm3271854', 'nm1004298']	['nm0081433']
tt0247638	The Princess Diaries	2001.0	['Comedy', 'Family', 'Romance']	['nm0001185', 'nm0777521', 'nm0902184', 'nm1005514', 'nm0639917']	['nm0005190']
tt0247745	Super Troopers	2001.0	['Comedy', 'Crime', 'Mystery']	['nm0151540', 'nm0373571', 'nm0899282', 'nm0449466', 'nm0034309', 'nm0831479', 'nm0501399', 'nm0815418']	['nm0151540']
tt0248126	Kabhi Khushi Kabhie Gham...	2001.0	['Drama', 'Musical', 'Romance']	['nm0451321', 'nm0000821', 'nm0004335', 'nm1159410', 'nm0622186']	['nm0424103']
tt0248667	Ali	2001.0	['Biography', 'Drama', 'Sport']	['nm0000226', 'nm0000226', 'nm0004937', 'nm0000685', 'nm0005522', 'nm0798779', 'nm0942482', 'nm0932112']	['nm0000520']
tt0249462	Billy Elliot	2000.0	['Drama', 'Music']	['nm0068260', 'nm0237237', 'nm0507207', 'nm0920435', 'nm0254290', 'nm0266711']	['nm0197636']
tt0250223	Asterix & Obelix: Mission Cleopatra	2002.0	['Adventure', 'Comedy', 'Family']	['nm0000367', 'nm0002010', 'nm0213354', 'nm0149260', 'nm0723623', 'nm0201462', 'nm0046347', 'nm0226386', 'nm0228088']	['nm0149260']
tt0250258	The Experiment	2001.0	['Drama', 'Thriller']	['nm0001953', 'nm0075321', 'nm0831440', 'nm0617852', 'nm0843799', 'nm0197560', 'nm0725222', 'nm0618281', 'nm0748915', 'nm0276472']	['nm0386570']
tt0250494	Legally Blonde	2001.0	['Comedy', 'Romance']	['nm0005561', 'nm0205127', 'nm0001255']	['nm0525659']
tt0250687	Rat Race	2001.0	['Action', 'Adventure', 'Comedy']	['nm0005227', 'nm0896735', 'nm0000421', 'nm1035460', 'nm0616667', 'nm1035396']	['nm0958387']
tt0250797	Unfaithful	2002.0	['Drama', 'Romance', 'Thriller']	['nm0000152', 'nm0553648', 'nm0838059', 'nm0005165', 'nm0045935', 'nm0026687', 'nm0348515']	['nm0001490']
tt0251075	Evolution	2001.0	['Comedy', 'Sci-Fi']	['nm0000141', 'nm0428963', 'nm0005405', 'nm0505971', 'nm0839486', 'nm0100989', 'nm0452914', 'nm0123092', 'nm0000101']	['nm0718645']
tt0251114	Hart's War	2002.0	['Drama', 'War']	['nm0000246', 'nm0268199', 'nm0005024', 'nm0369513', 'nm0411903', 'nm0730070', 'nm0788370', 'nm0827561', 'nm0415382', 'nm0132843']	['nm0387706']
tt0251127	How to Lose a Guy in 10 Days	2003.0	['Comedy', 'Romance']	['nm0000190', 'nm0004965', 'nm0502073', 'nm0458951']	['nm0677953']
tt0251160	John Q	2002.0	['Crime', 'Drama', 'Thriller']	['nm0000243', 'nm0000380', 'nm0030250', 'nm0807826', 'nm0861513', 'nm1130967', 'nm0175305']	['nm0001024']
tt0251736	House of 1000 Corpses	2003.0	['Horror']	['nm0354085', 'nm0608405', 'nm0052424', 'nm0060248', 'nm1332399', 'nm0277344']	['nm0957772']
tt0252076	Maid in Manhattan	2002.0	['Comedy', 'Drama', 'Romance']	['nm0000146', 'nm0001804', 'nm0692677', 'nm0001177']	['nm0911061']
tt0252866	American Pie 2	2001.0	['Comedy']	['nm0004755', 'nm0005405', 'nm0005098', 'nm0005272', 'nm0858776']	['nm0736930']
tt0253474	The Pianist	2002.0	['Biography', 'Drama', 'Music']	['nm0004778', 'nm0470981', 'nm0277975', 'nm0954076', 'nm0832380', 'nm0611148']	['nm0000591']
tt0253556	Reign of Fire	2002.0	['Action', 'Adventure', 'Fantasy']	['nm0000190', 'nm0000288', 'nm0124930', 'nm0610187', 'nm0447986', 'nm0796502', 'nm0219329', 'nm0444676', 'nm0562793']	['nm0101385']
tt0253754	Star Trek: Nemesis	2002.0	['Action', 'Adventure', 'Sci-Fi']	['nm0001772', 'nm0000408', 'nm0000653', 'nm0000653', 'nm0000996', 'nm0000373', 'nm0362766', 'nm0000579']	['nm0000829']
tt0253867	The Sweetest Thing	2002.0	['Comedy', 'Romance']	['nm0005048', 'nm0030191', 'nm0030836', 'nm0000867', 'nm1154672', 'nm0068725']	['nm0474955']
tt0254686	The Piano Teacher	2001.0	['Drama', 'Music']	['nm0536095', 'nm0759797', 'nm1070601', 'nm0295429', 'nm1071274']	['nm0359734']
tt0255798	The Animal	2001.0	['Comedy', 'Sci-Fi']	['nm0001705', 'nm0001525', 'nm0000799', 'nm0146264', 'nm0518385', 'nm0868956', 'nm0748018', 'nm0934113']	['nm0339004']
tt0256009	The Devil's Backbone	2001.0	['Drama', 'Horror', 'Thriller']	['nm0635330', 'nm0527002', 'nm0862858', 'nm0305512', 'nm0520831', 'nm0535481', 'nm0885464']	['nm0868219']
tt0256380	Shallow Hal	2001.0	['Comedy', 'Drama', 'Fantasy']	['nm0085312', 'nm0004517', 'nm0899995', 'nm1071307', 'nm0569226', 'nm0730288', 'nm0315143']	['nm0125803', 'nm0268380']
tt0256415	Sweet Home Alabama	2002.0	['Comedy', 'Romance']	['nm0001131', 'nm0524197', 'nm0911542', 'nm0256121', 'nm0301381']	['nm0855035']
tt0257044	Road to Perdition	2002.0	['Crime', 'Drama', 'Thriller']	['nm0000158', 'nm0388382', 'nm0000056', 'nm1005576', 'nm0014582', 'nm0185819', 'nm0001354', 'nm1177237', 'nm0054513']	['nm0005222']
tt0257076	S.W.A.T.	2003.0	['Action', 'Adventure', 'Crime']	['nm0000168', 'nm0268199', 'nm0005112', 'nm0001038', 'nm0719637', 'nm0887144', 'nm0553648', 'nm0146146', 'nm0223315']	['nm0424800']
tt0257106	Scary Movie 2	2001.0	['Comedy', 'Horror']	['nm0005541', 'nm0009919', 'nm0057221', 'nm0069208', 'nm1010749', 'nm0278838']	['nm0005540']
tt0257360	About Schmidt	2002.0	['Drama']	['nm0000197', 'nm0000551', 'nm0381606', 'nm0342881', 'nm0137230', 'nm1078183']	['nm0668247']
tt0258000	Panic Room	2002.0	['Crime', 'Drama', 'Thriller']	['nm0001845', 'nm0948267', 'nm0001467', 'nm0000872', 'nm0118011', 'nm0001825', 'nm0776584']	['nm0000399']
tt0258153	S1m0ne	2002.0	['Comedy', 'Drama', 'Sci-Fi']	['nm0000199', 'nm0758436', 'nm0930367', 'nm0711110', 'nm0674052', 'nm0001542']	['nm0629272']
tt0258463	The Bourne Identity	2002.0	['Action', 'Mystery', 'Thriller']	['nm0000354', 'nm0177933', 'nm0654110', 'nm0004051', 'nm0015382', 'nm0542759', 'nm0324658', 'nm0357979']	['nm0510731']
tt0259324	Ghost Rider	2007.0	['Action', 'Fantasy', 'Thriller']	['nm0000115', 'nm0000115', 'nm0000385', 'nm1668265', 'nm0191442', 'nm0001228', 'nm0006610', 'nm2524656', 'nm1320100']	['nm0425756']
tt0259446	My Big Fat Greek Wedding	2002.0	['Comedy', 'Drama', 'Romance']	['nm0179173', 'nm0176073', 'nm0435503']	['nm0959034']
tt0259711	Vanilla Sky	2001.0	['Fantasy', 'Mystery', 'Romance']	['nm0000129', 'nm0000621', 'nm0005134', 'nm0852965', 'nm0001758', 'nm0788335']	['nm0001081']
tt0260866	Don't Say a Word	2001.0	['Drama', 'Mystery', 'Thriller']	['nm0000140', 'nm0000293', 'nm0236495', 'nm0034519', 'nm0328806', 'nm0776584']	['nm0001219']
tt0261392	Jay and Silent Bob Strike Back	2001.0	['Comedy']	['nm0582939', 'nm0003620', 'nm1130547', 'nm1130874', 'nm0932790', 'nm0724593', 'nm1039985']	['nm0003620']
tt0261983	Session 9	2001.0	['Drama', 'Horror', 'Mystery']	['nm0000325', 'nm0315342', 'nm0002117', 'nm0524197', 'nm0611932', 'nm0786639', 'nm0110807', 'nm0267772', 'nm0275244']	['nm0026442']
tt0263488	Jeepers Creepers	2001.0	['Horror', 'Mystery']	['nm0519043', 'nm0106534', 'nm0807503', 'nm0262869', 'nm0156105', 'nm0078653']	['nm0759207']
tt0264395	Basic	2003.0	['Crime', 'Drama', 'Mystery']	['nm0000237', 'nm0000168', 'nm0004857', 'nm0000610', 'nm0887144', 'nm0004875', 'nm0005231', 'nm0209246']	['nm0001532']
tt0264464	Catch Me If You Can	2002.0	['Biography', 'Crime', 'Drama']	['nm0000138', 'nm0000158', 'nm0000686', 'nm0000640', 'nm0000981', 'nm0397788', 'nm0400606', 'nm0247611']	['nm0000229']
tt0264472	Changing Lanes	2002.0	['Drama', 'Thriller']	['nm0000255', 'nm0000168', 'nm0001628', 'nm0420955', 'nm1161146', 'nm0370097']	['nm0585011']
tt0264616	Frailty	2001.0	['Crime', 'Drama', 'Thriller']	['nm0000200', 'nm0000190', 'nm0000959', 'nm0641610', 'nm0838911', 'nm0039435', 'nm0470672', 'nm0154934', 'nm0203218']	['nm0000200']
tt0264935	Murder by Numbers	2002.0	['Crime', 'Mystery', 'Thriller']	['nm0001035', 'nm0331516', 'nm0685856', 'nm0001606', 'nm0130107', 'nm0894225', 'nm0896043']	['nm0775447']
